Key,Prediction,Borough,Neighborhood
47_780.00,2.498726773,Brooklyn,Farragut
81_972.01,2.498352274,Queens,Arverne
47_364.00,2.494957898,Brooklyn,Brighton Beach
81_536.00,2.492742445,Queens,Queens Village
61_102.00,2.490887793,Manhattan,Midtown
47_644.00,2.484333306,Brooklyn,Marine Park
47_568.00,2.483868954,Brooklyn,Marine Park
81_942.01,2.483556887,Queens,Rockaway Park / Seaside
47_572.00,2.482549582,Brooklyn,Sheepshead Bay
81_240.00,2.479806256,Queens,Jamaica
81_442.00,2.476199839,Queens,Jamaica
47_936.00,2.473668378,Brooklyn,East Flatbush
81_1047.00,2.470442895,Queens,Bowne Park
47_1100.00,2.469887611,Brooklyn,East New York
47_256.00,2.465484462,Brooklyn,Bensonhurst
81_30.00,2.463922555,Queens,Woodhaven
81_446.01,2.46346247,Queens,Jamaica
47_498.00,2.459240238,Brooklyn,Kennsington
81_677.00,2.458616077,Queens,Middle Village
81_602.00,2.454776536,Queens,Cambria Heights
81_135.00,2.45448463,Queens,Astoria Heights
47_198.00,2.450865691,Brooklyn,Dyker Heights
81_446.02,2.449563726,Queens,Jamaica hills
81_479.00,2.448415777,Queens,Elmhurst
81_604.00,2.446056871,Queens,Cambria Heights
47_958.00,2.440898179,Brooklyn,Canarsie
81_578.00,2.440194564,Queens,Queens Village
81_525.00,2.431064035,Queens,Maspeth
47_254.00,2.42995932,Brooklyn,Bensonhurst
81_1201.00,2.427349765,Queens,East Flushing
47_208.00,2.425819508,Brooklyn,Dyker Heights
81_694.00,2.42203316,Queens,Brookville
81_1529.01,2.420966991,Queens,Douglaston / Little Neck
81_638.00,2.420711243,Queens,Rosedale
81_247.00,2.413447781,Queens,Woodside
47_138.00,2.411838658,Brooklyn,Bay Ridge
47_1012.00,2.406722232,Brooklyn,Canarsie
47_504.00,2.405519837,Brooklyn,Windsor Terrace
81_743.00,2.400885589,Queens,Rego Park
47_392.00,2.391438734,Brooklyn,Sheepshead Bay
81_567.00,2.388541804,Queens,Glendale
47_168.00,2.388053606,Brooklyn,Bath Beach
81_663.00,2.377909812,Queens,Middle Village
47_272.00,2.377764288,Brooklyn,Bensonhurst
81_1141.00,2.375595276,Queens,Murray Hill (Queens)
